ID,city,county_name,state_id
1840034016,New York,Queens,NY
1840020491,Los Angeles,Los Angeles,CA
1840000494,Chicago,Cook,IL
1840015149,Miami,Miami-Dade,FL
1840019440,Dallas,Dallas,TX
1840020925,Houston,Harris,TX
1840000673,Philadelphia,Philadelphia,PA
1840013660,Atlanta,Fulton,GA
1840006060,Washington,District of Columbia,DC
1840000455,Boston,Suffolk,MA
1840020568,Phoenix,Maricopa,AZ
1840003971,Detroit,Wayne,MI
1840021117,Seattle,King,WA
1840021543,San Francisco,San Francisco,CA
1840021990,San Diego,San Diego,CA
1840007830,Minneapolis,Hennepin,MN
1840034030,Brooklyn,Kings,NY
1840015982,Tampa,Hillsborough,FL
1840018789,Denver,Denver,CO
1840034002,Queens,Queens,NY
1840001592,Baltimore,Baltimore,MD
1840020364,Las Vegas,Clark,NV
1840001651,St. Louis,St. Louis,MO
1840019941,Portland,Multnomah,OR
1840020551,Riverside,Riverside,CA
1840015099,Orlando,Orange,FL
1840021491,Sacramento,Sacramento,CA
1630035577,San Juan,San Juan,PR
1840022220,San Antonio,Bexar,TX
1840021570,San Jose,Santa Clara,CA
1840001254,Pittsburgh,Allegheny,PA
1840003814,Cincinnati,Hamilton,OH
1840034000,Manhattan,New York,NY
1840000596,Cleveland,Cuyahoga,OH
1840030084,Indianapolis,Marion,IN
1840019590,Austin,Travis,TX
1840008535,Kansas City,Jackson,MO
1840003760,Columbus,Franklin,OH
1840014557,Charlotte,Mecklenburg,NC
1840003871,Virginia Beach,Virginia Beach,VA
1840033999,Bronx,Bronx,NY
1840003046,Milwaukee,Milwaukee,WI
1840003289,Providence,Providence,RI
1840015031,Jacksonville,Duval,FL
1840021383,Salt Lake City,Salt Lake,UT
1840036155,Nashville,Davidson,TN
1840014497,Raleigh,Wake,NC
1840015457,Memphis,Shelby,TN
1840030815,Louisville,Jefferson,KY
1840001698,Richmond,Richmond,VA
1840000386,Buffalo,Erie,NY
1840020428,Oklahoma City,Oklahoma,OK
1840004836,Bridgeport,Fairfield,CT
1840001839,New Orleans,Orleans,LA
1840020696,Fort Worth,Tarrant,TX
1840004773,Hartford,Hartford,CT
1840022101,Tucson,Pima,AZ
1840013305,Honolulu,Honolulu,HI
1840021024,McAllen,Hidalgo,TX
1840009315,Omaha,Douglas,NE
1840023252,El Paso,El Paso,TX
1840019176,Albuquerque,Bernalillo,NM
1840000373,Rochester,Monroe,NY
1840015988,Sarasota,Sarasota,FL
1840020319,Fresno,Fresno,CA
1840021672,Tulsa,Tulsa,OK
1840001044,Allentown,Lehigh,PA
1840034249,Dayton,Montgomery,OH
1840006507,Birmingham,Jefferson,AL
1840015163,Charleston,Charleston,SC
1840015130,Cape Coral,Lee,FL
1840014730,Columbia,Richland,SC
1840018905,Concord,Contra Costa,CA
1840018825,Colorado Springs,El Paso,CO
1840000466,Springfield,Hampden,MA
1840014486,Knoxville,Knox,TN
1840013941,Baton Rouge,East Baton Rouge,LA
1840020135,Ogden,Weber,UT
1840002928,Grand Rapids,Kent,MI
1840000417,Albany,Albany,NY
1840019148,Bakersfield,Kern,CA
1840020580,Mission Viejo,Orange,CA
1840004850,New Haven,New Haven,CT
1840000434,Worcester,Worcester,MA
1840020174,Provo,Utah,UT
1840000791,Akron,Summit,OH
1840015094,Palm Bay,Brevard,FL
1840007069,Des Moines,Polk,IA
1840020553,Murrieta,Riverside,CA
1840020566,Mesa,Maricopa,AZ
1840034032,Staten Island,Richmond,NY
1840001686,Wichita,Sedgwick,KS
1840000572,Toledo,Lucas,OH
1840001288,Harrisburg,Dauphin,PA
1840015119,Port St. Lucie,St. Lucie,FL
1840020490,Long Beach,Los Angeles,CA
1840020121,Reno,Washoe,NV
1840002915,Madison,Dane,WI
1840015509,Little Rock,Pulaski,AR
1840013501,Greenville,Greenville,SC
1840019390,Denton,Denton,TX
1840021093,Spokane,Spokane,WA
1840020296,Oakland,Alameda,CA
1840003718,Lancaster,Lancaster,PA
1840000500,Poughkeepsie,Dutchess,NY
1840027142,Boise,Ada,ID
1840015324,Winston-Salem,Forsyth,NC
1840000378,Syracuse,Onondaga,NY
1840029462,Augusta,Richmond,GA
1840021517,Stockton,San Joaquin,CA
1840015064,Palm Coast,Flagler,FL
1840014569,Chattanooga,Hamilton,TN
1840015109,Kissimmee,Osceola,FL
1840013364,Durham,Durham,NC
1840019422,Arlington,Tarrant,TX
1840021731,Victorville,San Bernardino,CA
1840018794,Aurora,Arapahoe,CO
1840020287,Modesto,Stanislaus,CA
1840020516,Lancaster,Los Angeles,CA
1840013368,Fayetteville,Washington,AR
1840003389,Scranton,Lackawanna,PA
1840020474,Oxnard,Ventura,CA
1840003563,Youngstown,Mahoning,OH
1840019304,Indio,Riverside,CA
1840015005,Pensacola,Escambia,FL
1840019322,Anaheim,Orange,CA
1840014227,Bonita Springs,Lee,FL
1840013356,Greensboro,Guilford,NC
1840005061,Huntsville,Madison,AL
1840019718,Corpus Christi,Nueces,TX
1840008261,Fort Wayne,Allen,IN
1840013490,Fayetteville,Cumberland,NC
1840003172,Ann Arbor,Washtenaw,MI
1840014895,Jackson,Hinds,MS
1840018903,Antioch,Contra Costa,CA
1840006009,Mobile,Mobile,AL
1840015211,Lexington,Fayette,KY
1840013411,Asheville,Buncombe,NC
1840001383,Trenton,Mercer,NJ
1840021488,Santa Rosa,Sonoma,CA
1840021964,Santa Ana,Orange,CA
1840003102,Lansing,Ingham,MI
1840020361,Henderson,Clark,NV
1840008940,St. Paul,Ramsey,MN
1840015108,Lakeland,Polk,FL
1840002791,Newark,Essex,NJ
1840020151,Fort Collins,Larimer,CO
1840001185,Reading,Berks,PA
1840009904,Springfield,Greene,MO
1840019325,Irvine,Orange,CA
1840023385,Anchorage,Anchorage,AK
1840019585,The Woodlands,Montgomery,TX
1840009241,South Bend,St. Joseph,IN
1840009132,Rockford,Winnebago,IL
1840015830,Savannah,Chatham,GA
1840009357,Lincoln,Lancaster,NE
1840003600,Jersey City,Hudson,NJ
1840011171,Round Lake Beach,Lake,IL
1840002949,Flint,Genesee,MI
1840015768,Shreveport,Caddo,LA
1840020662,Plano,Collin,TX
1840014717,Myrtle Beach,Horry,SC
1840007081,Davenport,Scott,IA
1840000963,Canton,Stark,OH
1840021864,Santa Clarita,Los Angeles,CA
1840019350,Chula Vista,San Diego,CA
1840020007,Eugene,Lane,OR
1840019309,Chandler,Maricopa,AZ
1840021224,Salem,Marion,OR
1840014559,Concord,Cabarrus,NC
1840021947,Gilbert,Maricopa,AZ
1840014887,Columbus,Muscogee,GA
1630035605,Aguadilla,Aguadilla,PR
1840020604,Lubbock,Lubbock,TX
1840020363,North Las Vegas,Clark,NV
1840015977,St. Petersburg,Pinellas,FL
1840015913,Tallahassee,Leon,FL
1840021002,Laredo,Webb,TX
1840009373,Peoria,Peoria,IL
1840019310,Avondale,Maricopa,AZ
1840015044,Lafayette,Lafayette,LA
1840019438,Irving,Dallas,TX
1840008353,Montgomery,Montgomery,AL
1840021639,Visalia,Tulare,CA
1840020657,McKinney,Collin,TX
1840015576,Wilmington,New Hanover,NC
1840003874,Chesapeake,Chesapeake,VA
1840020563,Glendale,Maricopa,AZ
1840020707,Garland,Dallas,TX
1840018481,Kennewick,Benton,WA
1840015970,Winter Haven,Polk,FL
1840021940,Scottsdale,Maricopa,AZ
1840003869,Norfolk,Norfolk,VA
1840020854,Killeen,Bell,TX
1840001472,York,York,PA
1840003798,Atlantic City,Atlantic,NJ
1840002984,Nashua,Hillsborough,NH
1840006112,Arlington,Arlington,VA
1840019743,Brownsville,Cameron,TX
